# Mock DESY5-like SNe data
# model: lcdm
# Cosmological parameters: output=, theta_s_100=1.041, omega_b=0.02223, omega_cdm=0.11985000000000001, ln10^{10}A_s=3.036, n_s=0.9649, tau_reio=0.0544, m_ncdm=0.02, N_ur=0.00441, N_ncdm=1, deg_ncdm=3, T_ncdm=0.71611, Omega_Lambda=0.0, fluid_equation_of_state=CLP, w0_fld=-1, wa_fld=0, 
VARNAMES: CID IDSURVEY zHD zHEL MU MUERR MUERR_VPEC MUERR_SYS PROBIA_BEAMS
SN: Gaia16agf    150 0.02509 0.02507 35.29040   0.17730  0.07310  0.05631  1.00000
SN: 2003it        63 0.02510 0.02528 35.29170   0.16410  0.07300  0.04157  1.00000
SN: 2007cq        64 0.02510 0.02604 35.29331   0.13310  0.07300  0.03455  1.00000
SN: AT2017cfc    150 0.02512 0.02403 35.29077   0.12110  0.07300  0.03976  1.00000
SN: 2007sw        65 0.02517 0.02428 35.29560   0.15590  0.07280  0.04029  1.00000
SN: 2002he        63 0.02519 0.02441 35.29759   0.12460  0.07280  0.03610  1.00000
SN: ASASSN-16bq  150 0.02534 0.02493 35.31150   0.11350  0.07240  0.04420  1.00000
SN: PS15ahs      150 0.02534 0.02551 35.31273   0.11050  0.07240  0.03372  1.00000
SN: PSNJ0153424  150 0.02556 0.02565 35.33168   0.15160  0.07170  0.03353  1.00000
SN: SN2017hn     150 0.02557 0.02385 35.32871   0.12200  0.07170  0.03342  1.00000
SN: SN2017ms     150 0.02591 0.02448 35.35855   0.11460  0.07080  0.02933  1.00000
SN: 2005M         64 0.02598 0.02484 35.36514   0.13910  0.07060  0.04350  1.00000
SN: SN2017mf     150 0.02598 0.02561 35.36677   0.11680  0.07060  0.07984  1.00000
SN: 2005ms        64 0.02669 0.02522 35.42412   0.10580  0.06870  0.05624  1.00000
SN: ASASSN-15mf  150 0.02695 0.02604 35.44677   0.10320  0.06810  0.03461  1.00000
SN: ASASSN-17at  150 0.02713 0.02537 35.45971   0.11560  0.06760  0.04662  1.00000
SN: 2007co        64 0.02731 0.02696 35.47734   0.14500  0.06720  0.14823  1.00000
SN: 2007su        65 0.02740 0.02783 35.48627   0.22190  0.06700  0.18365  1.00000
SN: ASASSN-15fa  150 0.02741 0.02734 35.48603   0.14460  0.06700  0.04178  1.00000
SN: 2005na        64 0.02748 0.02665 35.49007   0.09940  0.06680  0.02995  1.00000
SN: 2005eq        64 0.02823 0.02893 35.55296   0.12010  0.06500  0.02724  1.00000
SN: 2003U         63 0.02833 0.02810 35.55884   0.14790  0.06480  0.04759  1.00000
SN: 2009ad        65 0.02844 0.02840 35.56783   0.09700  0.06460  0.04158  1.00000
SN: 2008ar        65 0.02849 0.02617 35.56690   0.09940  0.06450  0.05597  1.00000
SN: AT2017ns     150 0.02849 0.02877 35.57240   0.17560  0.06450  0.08614  1.00000
SN: 2004gs         5 0.02857 0.02740 35.57555   0.16700  0.06430  0.07021  1.00000
SN: SN2017ckx    150 0.02858 0.02716 35.57580   0.13700  0.06430  0.02914  1.00000
SN: 2007is        65 0.02866 0.02953 35.58683   0.12410  0.06410  0.10099  1.00000
SN: 2006qo        64 0.02898 0.02837 35.60832   0.17710  0.06340  0.10589  1.00000
SN: ASASSN-15la  150 0.02902 0.02782 35.61013   0.13570  0.06330  0.03426  1.00000
SN: PS16cvc      150 0.02915 0.02954 35.62340   0.10460  0.06300  0.02688  1.00000
SN: 2003ch        63 0.02919 0.02833 35.62381   0.11390  0.06290  0.05158  1.00000
SN: ASASSN-16ay  150 0.02938 0.02834 35.63782   0.17070  0.06250  0.12753  1.00000
SN: PSNJ0859349  150 0.02938 0.02812 35.63735   0.13470  0.06250  0.11210  1.00000
SN: ASASSN-16fs  150 0.02944 0.02920 35.64403   0.11010  0.06240  0.03886  1.00000
SN: ASASSN-16aj  150 0.02953 0.03075 35.65388   0.11190  0.06220  0.05190  1.00000
SN: ASASSN-16br  150 0.02956 0.02852 35.65136   0.11690  0.06220  0.04340  1.00000
SN: AT2017zd     150 0.02969 0.02947 35.66283   0.11630  0.06190  0.10099  1.00000
SN: ATLAS17ajn   150 0.02978 0.02871 35.66775   0.12510  0.06170  0.04278  1.00000
SN: Gaia16bba    150 0.02990 0.03046 35.68011   0.11140  0.06150  0.03228  1.00000
SN: 2004ef        64 0.03012 0.03101 35.69707   0.13690  0.06100  0.04694  1.00000
SN: ASASSN-15nq  150 0.03023 0.03036 35.70356   0.09210  0.06080  0.03955  1.00000
SN: AT2017lm     150 0.03031 0.03064 35.70985   0.13360  0.06060  0.03073  1.00000
SN: ASASSN-16fo  150 0.03036 0.02890 35.70973   0.09070  0.06050  0.06008  1.00000
SN: AT2016cyt    150 0.03059 0.03074 35.72988   0.09970  0.06010  0.04612  1.00000
SN: 2006is        64 0.03071 0.03140 35.73971   0.11210  0.05990  0.08307  1.00000
SN: ASASSN-16hr  150 0.03083 0.03086 35.74698   0.17330  0.05960  0.06044  1.00000
SN: PS15cwx      150 0.03086 0.03007 35.74741   0.10150  0.05960  0.06277  1.00000
SN: AT2017wb     150 0.03117 0.03065 35.77017   0.18130  0.05900  0.05909  1.00000
SN: 2007bd        64 0.03120 0.03044 35.77180   0.10080  0.05890  0.03839  1.00000
SN: 2002hd        63 0.03134 0.03049 35.78155   0.17910  0.05870  0.09941  1.00000
SN: ASASSN-15hg  150 0.03143 0.02992 35.78653   0.13020  0.05850  0.04017  1.00000
SN: ATLAS17axb   150 0.03143 0.03165 35.79018   0.10370  0.05850  0.07252  1.00000
SN: CSS160428    150 0.03148 0.03029 35.79074   0.11080  0.05840  0.08683  1.00000
